scorer,,,Lilli,Lilli,Lilli,Lilli,Lilli,Lilli,Lilli,Lilli
bodyparts,,,Nose,Nose,Neck,Neck,Butt,Butt,Tail,Tail
coords,,,x,y,x,y,x,y,x,y
labeled-data,2024-10-28 09-52-41,img00648.png,,,,,,,,
labeled-data,2024-10-28 09-52-41,img00949.png,1049.0977783203125,472.3568420410156,1064.1026611328125,446.7703857421875,1105.1246961406657,366.1984971108521,1063.8546422018067,272.9491664316769
labeled-data,2024-10-28 09-52-41,img04592.png,1083.4360276459893,483.9762728997936,1066.2159338296874,460.0594759327075,996.6180546554667,412.2258819985353,,
labeled-data,2024-10-28 09-52-41,img06248.png,629.4778853413013,177.0464723803521,645.3421862085137,197.16704908998733,685.7768067115308,289.25738095331786,,
labeled-data,2024-10-28 09-52-41,img06378.png,477.2144470214844,288.8958758309742,484.4541976340762,263.77814353340983,562.5514571555608,234.09991501275752,,
labeled-data,2024-10-28 09-52-41,img07917.png,489.3791809082031,214.3238525390625,501.21454369684096,220.4568972632615,565.1922217596241,221.89440238588372,,
labeled-data,2024-10-28 09-52-41,img10172.png,499.8721416871638,519.791971508485,519.386433251345,521.8801663073775,606.4850655629006,529.8983139268545,,
labeled-data,2024-10-28 09-52-41,img10441.png,334.74774665985274,506.5086456421029,309.39019775390625,512.1249389648438,277.4856191083718,505.9753865391158,229.57685743395297,436.88026526392457
labeled-data,2024-10-28 09-52-41,img11321.png,595.1571705269298,262.0050663024757,573.8613817858685,236.03794325692346,529.0715293369265,194.54550325821035,,
labeled-data,2024-10-28 09-52-41,img13254.png,932.786865234375,403.9425354003906,958.6282958984375,409.4699401855469,1038.703675815557,401.1208475511116,1075.709485388556,316.96856447560805
labeled-data,2024-10-28 09-52-41,img14898.png,245.53005981445312,451.75164794921875,261.6997375488281,468.5805358886719,333.115739963656,521.9116569624881,,
labeled-data,2024-10-28 09-52-41,img15516.png,,,,,186.32335325426487,456.8297638571751,238.65391436339496,368.84032482412454
labeled-data,2024-10-28 09-52-41,img15713.png,315.4110107421875,329.99725341796875,300.0548400878906,351.90291387107004,258.0133056640625,428.01470947265625,,
labeled-data,2024-10-28 09-52-41,img17110.png,530.7392117663534,624.7920971869962,530.9799030988884,592.2987672947704,516.0570404817179,534.5328474863688,,
labeled-data,2024-10-28 09-52-41,img17564.png,948.7807498093575,266.7173688755893,947.1553216333142,233.76550676125555,990.1552851995523,204.06450099900857,,
labeled-data,2024-10-28 09-52-41,img18349.png,557.7628784179688,574.4597778320312,536.9411010742188,560.9229125976562,506.4914855957031,491.537062005995,,
labeled-data,2024-10-28 09-52-41,img19925.png,,,121.88336944580078,591.8843994140625,192.74880167618528,534.0977975268896,295.6672795988987,502.9767386529329
labeled-data,2024-10-28 09-52-41,img20190.png,746.8582488639205,147.06483271127215,725.2996176105318,160.84821990606164,662.9209550494971,228.5281852343229,570.3248667152703,256.80179999286554
labeled-data,2024-10-28 09-52-41,img21018.png,150.8517608642578,185.69163513183594,143.81716918945312,208.65882873535156,141.671630859375,295.1427307128906,161.49607376566001,381.06406696532184
labeled-data,2024-10-28 09-52-41,img23144.png,467.8670349121094,161.47914123535156,488.8353576660156,166.10560607910156,568.0303955078125,206.4786376953125,,
labeled-data,2024-10-28 09-52-41,img23184.png,277.9842826401758,177.38548155213903,294.0252935996291,165.6220735152066,,,,
labeled-data,2024-10-28 09-52-41,img24836.png,,,171.10063469133735,234.66624276749332,191.94947839703957,320.34415925746,192.5522829377067,414.4001225288726
labeled-data,2024-10-28 09-52-41,img25769.png,873.2564004562839,162.29003780916943,860.5139487491087,156.96137618616888,,,,
labeled-data,2024-10-28 09-52-41,img26180.png,1065.2356444948396,455.55997997539515,1067.6318942801406,479.7403187179784,1050.8581457830333,552.7170167248739,,
labeled-data,2024-10-28 09-52-41,img26296.png,1075.6859973834398,367.85932271672647,1075.688119564325,390.32751660596824,1056.858717662865,465.2545868494813,,
labeled-data,2024-10-28 09-52-41,img30368.png,753.7123378506078,536.6209298369214,731.8758544921875,528.9472115925493,689.3956612648872,448.6834917365741,688.1029022372237,365.86080374071304
labeled-data,2024-10-28 09-52-41,img33666.png,,,,,,,245.7763981963892,450.0781587087671
labeled-data,2024-10-28 09-52-41,img34281.png,186.9457399094031,415.42588849821675,180.26731711298874,447.56579820596085,,,,
labeled-data,2024-10-28 09-52-41,img40123.png,996.5907390616923,475.08268021481456,1008.3542470263873,489.76240050687227,1061.2994546102636,550.3332447808884,1134.8777084646113,520.6627831332487
labeled-data,2024-10-28 09-52-41,img40489.png,,,1077.8122297221046,554.8094470205499,1050.6110624199205,485.10645580870323,1066.1006160225531,386.5022243382861
labeled-data,2024-10-28 09-52-41,img43474.png,297.34284049286384,107.78812032129227,278.2855710624022,125.3631576849402,283.367509577192,193.33408532025328,,
labeled-data,2024-10-28 09-52-41,img45024.png,1047.1666259765625,558.6250610351562,,,1066.3297119140625,478.4964904785156,1002.980328255774,411.1120789707885
labeled-data,2024-10-28 09-52-41,img45494.png,1048.892568198099,565.7858858018647,1051.0618369166425,546.8047845146103,1073.5679998715298,466.2706833386884,1032.351894219206,381.39804472567965
labeled-data,2024-10-28 09-52-41,img51125.png,,,577.0826887075269,524.2231541634333,,,527.7714327951335,486.9921657637144
labeled-data,2024-10-28 09-52-41,img53472.png,524.0248787512386,238.1998826303028,516.9666919705201,215.8489578246938,,,,
labeled-data,2024-10-28 09-52-41,img55353.png,722.7311401367188,590.681640625,714.6539916992188,575.485107421875,693.46630859375,493.4286193847656,,
